Telugu,English
ఆగ్నేయం,Southeast
బ్రహ్మాండమైన,Magnificent
చేపట్టండి,Take it on.
చిత్రకారుడు,Painter
నివాస,Residential
ప్రతిరూపం,Replica
నమ్మినవాడు,Believer
దీపం,Lamp
ఖైదీ,Prisoner
పూర్తిగా,Completely
జాడ కనుగొను,Trace
విచిత్రం,Strange
వడపోత,Filter
దిండు,Pillow
కక్ష్య,Orbit
పర్స్,Purse
అదేవిధంగా,Similarly
నిలిపివేయండి,Disable
ఉత్తీర్ణత,Passing
ఫీడ్,Feed
అదృశ్యం,Disappearance
బోధనాపరమైన,Pedagogical
ఉపవాక్య,Clause
మానసికంగా,Mentally
మోడల్,Model
వదిలేశారు,Left behind
చెరువు,Pond
తటస్థ,Neutral
కవచం,Armor
ప్రజాదరణ,Popularity
కార్టూన్,Cartoon
అధికారం,Authority
కలిపి,Combined
ప్రదర్శించు,Display
మునిగిపోతుంది,Sinking
గ్రాఫిక్,Graphic
ప్రియతమా,Dear
సాంప్రదాయకంగా,Traditionally
విక్రేత,Seller
పేలవంగా,Poorly
గర్భం దాల్చండి,Get pregnant.
ఎంపిక,Choice
దిగుతారు,Will get off
దృఢంగా,Firmly
ప్రియమైన,Dear
బహిరంగంగా,Publicly
సేకరణ,Collection
పరాయి,Alien
కాండం,Stem
జ్వరం,Fever
బోధిస్తారు,Teach
జోక్యం చేసుకుంటాయి,Interfere
బాణం,Arrow
అవసరం,Need
పెట్టుబడిదారీ విధానం,Capitalism
తన్నండి,Kick
ఫోర్క్,Fork
సర్వే,Survey
ఈలోగా,In the meantime
బహుశా,Maybe
స్థానం,Location
జాత్యహంకార,Racist
ఉండు,Stay
భ్రాంతి,Hallucination
తొలగింపు,Removal
ఆత్రుతగా,Anxiously
అరబ్,Arab
జీవి,Creature
మేల్కొని,Awake
శిల్పం,Sculpture
విడిగా,Separately
సముద్ర,Sea
వేధింపులు,Harassment
డ్రమ్,Drum
తగ్గుతాయి,Decrease
హెల్మెట్,Helmet
స్థాయి,Level
సర్టిఫికేట్,Certificate
గిరిజనుడు,Tribal
చెడు,Bad
mmm,mmm
పాపం,Sin
బండి,Cart
గూఢచారి,Spy
సూర్యకాంతి,Sunlight
తొలగించు,Delete
రూకీ,Rookie
స్పష్టం,Clear
ఆకలి,Hunger
అభ్యాసకుడు,Learner
ప్రదర్శకుడు,Performer
రక్షిత,Protected
కూజా,Jar
ప్రోగ్రామింగ్,Programming
తెల్లవారుజాము,Early morning
సాల్మన్ చేప,Salmon
జనాభా గణన,Census
ఎంచుకోండి,Choose
సాఫల్యం,Achievement
మనస్సాక్షి,Conscience
అదృష్టవశాత్తూ,Fortunately
కనిష్ట,Minimum
అణువు,Atom
మద్దతునిస్తుంది,Supports
ఏకైక,Unique
త్రెషోల్డ్,Threshold
జాబితా,List
అనుగుణంగా,In accordance with
ద్రవ్య,Monetary
రవాణా,Transportation
పిరికి,Shy
డ్రిల్,Drill
ప్రభావవంతమైన,Effective
శబ్ద,Verb
బహుమతి,Gift
ర్యాంకింగ్,Ranking
గ్రాము,Gram
గ్రహించు,Understand
పజిల్,Puzzle
కవచ,Armor
వేడి,Heat
వర్గీకరించండి,Classify
చట్టం,Law
దురదృష్టకరం,Unfortunate
చెల్లాచెదురు,Scatter
నయం,Heal
సమయం,Time
ప్రియమైన,Dear
ముక్క,Piece
వెంటనే,Immediately
తిట్టు,Damn it.
తగ్గింపు,Discount
వ్యసనం,Addiction
ఉద్భవిస్తున్నది,Emerging
యోగ్యమైనది,Decent
మార్కర్,Marker
న్యాయమూర్తి,Judge
ప్రస్తావన,Reference
కలపండి,Mix
వ్యాపారవేత్త,Businessman
ప్రీమియం,Premium
చిల్లర వర్తకుడు,Retailer
ఆరోపణ,Accusation
కాలేయం,Liver
సముద్రపు దొంగ,Pirate
నిరసనకారుడు,Protester
దృక్పథం,Perspective
పెద్ద,Big
గాలన్,Gallon
అదనంగా,Additionally
అజ్ఞానం,Ignorance
రసాయన శాస్త్రం,Chemistry
కొన్నిసార్లు,Sometimes
కలుపు,Weed
పసికందు,Baby
భిన్నం,Fraction
ఉడికించాలి,Cook
మార్పిడి,Exchange
వస్తువు,Object
సహించండి,Bear with me.
కాలిబాట,Trail
మునుగు,Sink
యోగ్యత,Competence
పౌరసత్వం,Citizenship
సమన్వయకర్త,Coordinator
చెల్లుబాటు,Validity
యూరోపియన్,European
మెరుపు,Lightning
తాబేలు,Turtle
ఆశయం,Ambition
ప్రపంచవ్యాప్తంగా,Worldwide
తెరచాప,Sail
జోడించారు,Added
సున్నితమైన,Sensitive
హాస్య,Humorous
సబ్బు,Soap
విరుద్ధమైన,Contradictory
ఉపదేశించండి,Instruct
కొరత,Shortage
పనికిరానిది,Useless
బూత్,Booth
డైరీ,Diary
ఊపిరి పీల్చుకోండి,Breathe.
అనుమానాస్పదమైన,Suspicious
రవాణా,Transportation
ఉత్తేజపరచు,Invigorate
ప్రచురించడం,Publishing
ఉత్సుకత,Curiosity
గ్రిడ్,Grid
రోలింగ్,Rolling
విల్లు,Bow
క్రూరమైన,Cruel
బహిర్గతం,Disclosure
ప్రత్యర్థి,Opponent
తిరస్కరణ,Rejection
లౌకిక,Secular
వరద,Flood
ఊహాగానాలు,Speculation
సానుభూతి,Sympathy
టెండర్,Tender
తగని,Inappropriate
గంట,Hour
సోడియం,Sodium
విడాకులు,Divorce
వసంత,Spring
చప్పుడు,Bang
సవాలు,Challenge
ఐప్యాడ్,iPad
సాక్,Sock
ధాన్యపు కొట్టు,Granary
విశ్వసనీయత,Reliability
హార్మోన్,Hormone
ఫుటేజ్,Footage
చెక్కు,Check
సందు,Alley
సులభం,Easy
తీరప్రాంతం,Coastline
కేఫ్,Cafe
పాక్షికం,Partial
అనువైన,Suitable
అనుభవించాడు,Experienced
మిశ్రమ,Mixed
రక్త పిశాచి,Vampire
ఆశావాద,Optimistic
డెజర్ట్,Dessert
క్షేమం,Well-being
ఈశాన్య,Northeast
ప్రత్యేకత,Specialization
నౌకాదళం,Navy
లభ్యత,Availability
సమ్మతి,Consent
పిన్,Pin
పంది మాంసం,Pork
ఖగోళ శాస్త్రవేత్త,Astronomer
ఇష్టం,Like
నిషేధించండి,Ban
సంస్థాపన,Installation
ఉడకబెట్టండి,Boil.
గూడు,Nest
ప్రత్యేకంగా,Especially
మేక,Goat
లోతు లేని,Depthless
సన్నద్ధం,Preparation
సమానమైన,Equivalent
ద్రోహం,Betrayal
అంగీకారం,Acceptance
బ్యాంకర్,Banker
విరామం,Break
గ్యాసోలిన్,Gasoline
ప్రోత్సహించడం,Encouraging
వర్షం,Rain
మార్పిడి,Exchange
బకెట్,Bucket
దొంగతనం,Theft
లాండ్రీ,Laundry
నిర్బంధం,Detention
మరణిస్తున్నాను,Dying
ద్వేషం,Hatred
నగలు,Jewelry
వలస,Immigration
ఆవిష్కరణ,Innovation
ప్రేమించే,Loving
పగ,Revenge
అపూర్వమైన,Unprecedented
రూపురేఖలు,Outline
పూర్తిగా,Completely
హాలోవీన్,Halloween
ప్రియురాలు,Sweetheart
ఉమ్మి,Spit
సోమరితనం,Laziness
సన్నిహితుడు,Close friend
రక్షకుడు,Savior
సాంకేతికంగా,Technically
యుద్ధం,War
నయం,Heal
వేరుశెనగ,Peanut
అస్పష్టంగా,Unclear
పిసి,PC
వ్యాయామం,Exercise
అరణ్యం,Forest
బలవంతపు,Compulsive
పదకొండు,Eleven
చేయి,Hand
పెరడు,Backyard
ఒకేలా,Same
పాక్షికంగా,Partially
రవాణా,Transportation
సంరక్షకుడు,Guardian
మక్కువ,Passion
గ్రంథం,Scripture
మధ్యలో,In the middle
సైద్ధాంతిక,Theoretical
వేరుగా,Separately
అభివృద్ధి చెందుతాయి,Develop
సున్నితత్వం,Sensitivity
ట్రిగ్గర్,Trigger
మానసికంగా,Mentally
అజ్ఞాని,Ignorant
స్పష్టంగా,Clearly
విప్పు,Unfold
తలనొప్పి,Headache
శాశ్వతమైన,Eternal
గొడ్డలితో నరకడం,Chopping with an axe
అహంకారం,Pride
అద్భుతమైన,Excellent
డిపాజిట్,Deposit
తీర్పు,Verdict
సంబంధించి,Regarding
జవాబుదారీతనం,Accountability
నామినేట్ చేయండి,Nominate
పౌర,Civil
బట్టబయలు చేయండి,Expose
విమర్శ,Criticism
నడవ,Aisle
ఉష్ణమండల,Tropical
ఏటా,Annually
ఎనిమిదవది,Eighth
పేలుడు,Explosion
అవినీతిపరుడు,Corrupt person
కరుణ,Compassion
స్క్రాచ్,Scratch
ధృవీకరించండి,Verify
అపరాధి,Offender
వారసత్వంగా,Inherited
పోరాడాలి,Must fight
డౌన్ టౌన్,Downtown
భాగం,Part
ప్రశంసతో,With appreciation
కాన్వాస్,Canvas
పంచ్,Punch
తక్కువ సమయం,Short time
ప్రొసీడింగ్స్,Proceedings
మాయా,Maya
నమ్మకమైన,Reliable
ఆహ్,Ah
నిర్విరామంగా,Desperately
సింహాసనం,Throne
క్రూరమైన,Cruel
ఉన్నప్పటికీ,Although
ప్రచారం,Campaign
వ్యంగ్యం,Irony
సోడా,Soda
ప్రొజెక్షన్,Projection
డచ్,Dutch
తల్లిదండ్రుల,Parental
వికలాంగుడు,Disabled person
కలెక్టర్,Collector
మళ్ళి ఎన్నికలు,Re-election
నిరాశ,Despair
హాస్య,Humorous
సహాయం,Help
సంతోషంగా,Happy
నిటారుగా,Upright
ఫాన్సీ,Fancy
కౌంటర్,Counter
వినేవాడు,Listener
కొరడా దెబ్బ,Whiplash
ప్రజా,Public
సొరుగు,Drawer
హెక్,Heck
అభివృద్ధి,Development
ఆదర్శవంతమైనది,Ideal
బూడిద,Gray
సామాజికంగా,Socially
న్యాయస్థానం,Court
స్టాంపు,Stamp
సోలో,Solo
శిక్షకుడు,Trainer
ప్రేరేపించు,Inspire
ఎప్పుడైనా,Anytime
నైతికత,Morality
సిరియన్,Syrian
పైప్లైన్,Pipeline
వధువు,Bride
తక్షణ,Instant
స్పార్క్,Spark
ద్వారం,Gate
ఇంటర్ఫేస్,Interface
అభ్యసించేవాడు,Learner
క్యాసినో,Casino
ప్లేస్మెంట్,Placement
త్రాడు,Cord
అభిమాని,Fan
భావన,Concept
వశ్యత,Flexibility
నువ్వు,You
పన్ను,Tax
సొగసైన,Elegant
లోపం,Error
లాకర్,Locker
పొట్టు,Husk
ప్రచారం,Campaign
ట్విస్ట్,Twist
స్పెల్,Spell
లక్ష్యం,Goal
మనవి,Request
దేవుడా,Oh God
దిగుమతి,Import
స్టాక్,Stock
అబ్బా,"Oh, my God."
తాత్వికమైనది,Philosophical
వ్యర్థ,Waste
సైకిల్,Bicycle
స్వర,Vocal
నమలండి,Chew.
విధి,Fate
ప్రతిష్టాత్మకమైన,Prestigious
నమ్మశక్యం కానిది,Incredible
వైస్,Vice
సగం,Half
ఈర్ష్య,Jealousy
గోళము,Sphere
దండయాత్ర చేస్తారు,They will invade.
స్పాన్సర్,Sponsor
మితిమీరిన,Excessive
లెక్కలేనన్ని,Countless
సూర్యాస్తమయం,Sunset
అంతర్గత,Internal
అకౌంటింగ్,Accounting
నమ్మకమైన,Reliable
స్వేచ్ఛగా,Freely
సారం,Extract
అనుసరణ,Adaptation
కిరణం,Ray
అణగారిన,Depressed
చక్రవర్తి,Emperor
బండి,Cart
వ్యాసకర్త,Essayist
అడవి,Forest
ఇబ్బందిపడ్డాడు,Embarrassed
ట్రిలియన్,Trillion
గాలి,Wind
నిందిస్తారు,Blame
పెంపొందించు,Enhance
వేదిక,Platform
నిరుత్సాహపరచు,Discourage
కలవరపెడుతోంది,Disturbing
అల్లర్లు,Riots
విడిగా ఉంచడం,Keeping it separate
స్పష్టమైన,Clear
సరుకు,Cargo
హాజరు,Attendance
ట్యాబ్,Tab
తత్ఫలితంగా,Consequently
పిండి,Flour
నవల,Novel
గీత,Line
పట్టు,Silk
సారూప్యత,Similarity
స్టీక్,Steak
నృత్యం,Dance
పిటిషన్,Petition
అనుకూలమైన,Convenient
శ్వాస,Breath
మి.మీ,mm
బెలూన్,Balloon
స్మారక చిహ్నం,Monument
ప్రయత్నించండి,Try
క్యూ,Queue
స్లీవ్,Sleeve
టోల్,Toll
అయిష్టంగా,Reluctantly
వారెంట్,Warrant
గట్టి,Hard
పచ్చబొట్టు,Tattoo
మెత్తగా,Softly
ఆకస్మికంగా,Suddenly
గ్రాడ్యుయేషన్,Graduation
జపనీస్,Japanese
ఉద్దేశపూర్వకంగా,On purpose
వరుసగా,In a row
అప్గ్రేడ్,Upgrade
సహచరుడు,Companion
ఖచ్చితంగా,Sure
ఖచ్చితంగా,Sure
లీక్,Leak
ప్రాణనష్టం,Loss of life
ప్రమాదకరం,Dangerous
అరటిపండు,Banana
ఖాళీ,Empty
ప్రయోజనకరమైన,Beneficial
కుదించు,Collapse
చాట్,Chat
రాక్,Rock
సభ్యత లేని,Impolite
వాడుక,Usage
నిబంధన,Clause
బ్రౌజర్,Browser
ప్రాసెసర్,Processor
తొడ,Thigh
గ్రహించారు,Realized
దిగుబడి,Yield
మాట్లాడుతున్నారు,Talking
వ్యాపారి,Merchant
క్వాంటం,Quantum
కనుబొమ్మ,Eyebrow
పరిసర,Surroundings
పదజాలం,Vocabulary
సిగ్గుపడ్డాడు,He was ashamed.
eh,eh
రాడార్,Radar
అద్భుతమైన,Excellent
హంతకుడు,Murderer
బర్గర్,Burger
కాలర్,Collar
సమలేఖనం,Alignment
పాఠ్యపుస్తకం,Textbook
సంచలనం,Sensation
తరువాత,Later
ఆకర్షణ,Attraction
ఎండ,Sunny
సుత్తి,Hammer
కీబోర్డ్,Keyboard
అంటిపెట్టుకుని ఉంటారు,They will cling.
గోధుమ,Wheat
ప్రెడేటర్,Predator
విచిత్రమైన,Strange
